qa	['阿', '啊']
tsejh	['躋', '擠', '濟']
gyip	['及', '笈']
gyep	['笈']
gyop	['笈']
gyk	['極']
dzip	['集', '輯']
dzit	['疾', '嫉']
dzih	['嫉', '自']
dziaek	['籍', '藉']
kit	['吉']
kyk	['棘']
kyq	['己', '紀']
tsejq	['濟']
kyaek	['戟']
kyh	['記']
gyh	['忌']
kejh	['計', '繼', '繫', '係']
kyeh	['寄']
gyeq	['技', '妓']
tsiejh	['祭', '際']
tsreejh	['祭']
kwih	['季']
gwih	['悸']
ghejh	['繫', '系']
dzejh	['劑', '齊']
tswie	['劑']
dzejq	['薺']
dzek	['寂']
tsek	['績']
kyih	['冀', '覬']
kae	['加', '茄', '枷', '嘉', '家', '傢']
kee	['佳', '街']
kep	['頰', '莢']
kaep	['甲', '鉀', '押']
keen	['間', '艱']
keenh	['間']
kaen	['奸', '姦']
ken	['堅', '肩', '鑒']
kem	['兼']
kemh	['兼']
tsiem	['尖', '殲', '漸']
kaemh	['監', '鑑', '鑒']
tsien	['煎']
tsienh	['煎', '濺', '箭']
tsen	['箋', '濺', '淺']
keem	['緘']
dziemq	['漸']
keenq	['簡', '柬', '揀']
tsienq	['剪', '錢']
keemq	['減', '碱']
kyemq	['檢', '瞼', '臉']
gyemq	['儉']
liemq	['撿', '斂']
lenh	['揀', '練', '煉', '鍊']
kenq	['繭']
kaenh	['澗']
gyenq	['件', '鍵']
ghenh	['見', '現']
kenh	['見']
kyonh	['建', '毽']
gyonh	['健']
gyonq	['鍵']
dzienh	['賤', '餞']
dzienq	['踐', '餞']
kyomh	['劍']
ghaemq	['檻', '艦', '濫']
tsenh	['薦']
tshyang	['將', '槍', '鏘', '嗆', '搶', '蹌']
tsyang	['將', '漿', '蔣']
tsyangh	['將', '醬']
kyang	['僵', '薑', '繮', '疆', '姜']
tsyangq	['獎', '槳', '蔣']
dzyangh	['匠']
gyang	['強']
kaew	['交', '郊', '蛟', '膠', '教', '佼', '咬']
kaewh	['膠', '教', '較', '覺', '酵', '窖', '校']
khaew	['膠', '敲']
gyew	['嬌', '轎', '喬', '僑', '橋', '蕎']
kyew	['嬌', '驕', '喬', '蕎']
kyewq	['嬌', '矯']
tsiew	['焦', '蕉', '礁', '椒', '醮']
kew	['澆', '邀']
ngewh	['澆']
dzyak	['嚼']
ghaewq	['佼']
kewq	['繳']
tjyak	['繳', '勺', '灼', '酌']
koeuk	['角', '較', '覺']
louk	['角', '碌', '鹿', '祿']
kyak	['腳', '卻']
ngew	['僥', '堯']
ghaewh	['校', '效', '傚']
gyewh	['轎']
tsiewh	['醮']
keej	['皆', '階', '街', '楷']
tsiep	['接', '睫']
gyet	['揭', '傑', '竭', '渴']
gyot	['揭', '竭']
khyejh	['揭', '憩']
khyet	['揭']
kyet	['揭']
kyot	['揭']
ket	['結', '桔', '潔', '鍥', '蜈']
tset	['節']
kyop	['劫']
dzet	['截']
dziep	['捷']
gheeh	['解', '邂']
gheeq	['解', '蟹']
keeh	['解', '懈']
keeq	['解']
tsiaeq	['姐']
tsiaeh	['借']
dziaeh	['藉']
kyim	['今', '金', '禁', '襟']
kyn	['斤', '筋']
kynh	['斤']
kyin	['巾']
kyimh	['禁']
tsin	['津']
kinq	['緊']
gyinh	['僅', '饉']
kynq	['謹']
kyimq	['錦']
tsinq	['儘', '盡']
gynh	['近']
gynq	['近']
tsinh	['進', '晉']
tshim	['浸', '侵']
tsimh	['浸']
gyimh	['噤']
gyimq	['噤']
kiaengh	['勁']
dzinq	['盡']
dzinh	['燼']
kyaeng	['京', '驚', '荊']
kengh	['經', '徑']
tsiaeng	['菁', '精', '睛', '晶', '蜻', '氏']
gheeng	['莖']
qeeng	['莖', '鶯', '櫻', '鸚', '罌']
tsiaengh	['精']
tshiaengq	['睛', '請']
gyaeng	['鯨', '擎']
kyng	['兢']
kyaengq	['景', '警', '境']
kuaengq	['憬']
tsiaengq	['井']
dziaengq	['阱', '靖', '靜', '睜']
kyaengh	['竟', '鏡', '敬']
giaengq	['痙']
dziaengh	['靚', '淨', '請']
gyaengh	['競']
ghwengq	['迥']
guinq	['窘', '菌']
kuh	['究', '灸', '救', '疚', '猶']
kiwq	['糾', '赳']
tsu	['揪']
kuq	['九', '久', '玖', '灸', '韭']
tsuq	['酒']
dzuh	['就']
guh	['舊']
guq	['舅', '咎', '臼']
kuk	['臼', '鞠', '菊']
kuo	['拘', '駒', '俱']
guk	['鞠']
khuk	['鞠']
tshyo	['狙', '沮', '蛆']
guok	['局', '焗', '跼']
kwit	['橘']
kyoq	['舉']
dzyoq	['咀', '沮']
qaet	['咀']
tsyoq	['咀']
tsryo	['沮']
tsyo	['沮', '且', '蛆']
tsyoh	['沮']
dzuoh	['聚']
dzuoq	['聚']
guo	['句']
kuoh	['句']
guoh	['具', '颶', '懼']
gyoq	['巨', '距', '拒', '炬', '鉅']
kyoh	['據', '踞', '鋸']
gyaek	['劇']
jwien	['捐', '鉛', '沿', '緣']
qwien	['娟']
kwen	['鵑']
guenq	['圈']
guonh	['圈']
guonq	['圈', '卷', '菌']
khuen	['圈']
guen	['捲', '卷', '拳', '權']
kuenh	['捲', '卷']
kuenq	['捲', '卷']
guenh	['倦']
kwienh	['絹']
hwet	['決', '血']
kwet	['決', '訣', '抉']
qwet	['抉']
dzwiet	['絕']
guot	['掘']
gut	['掘', '倔', '崛']
ngut	['崛']
tsyak	['爵', '雀']
gyak	['噱']
kuot	['厥', '獗']
kut	['厥', '屈']
kwin	['均', '鈞']
kun	['軍', '君']
tswinh	['俊', '駿']
swinh	['峻', '濬', '迅']
tshwin	['竣']
gunh	['郡']
khaeq	['卡']
kheoj	['開']
kheej	['揩']
kheejq	['楷']
kheojh	['慨', '愾']
kheojq	['凱']
hyjh	['愾', '氣', '唏']
khan	['看', '刊']
khanh	['看', '侃']
khom	['堪', '龕']
khomh	['勘']
khomq	['砍', '坎']
khanq	['侃']
khamh	['瞰']
dzamq	['嵌']
khaem	['嵌']
khang	['康', '糠']
khangh	['亢', '抗', '炕']
khawq	['考', '烤', '拷']
khawh	['靠', '銬']
khwa	['科', '蝌', '棵', '課']
khwah	['科', '課']
khah	['坷']
khaq	['坷', '可']
khwaq	['顆', '棵']
khwanq	['棵', '款']
khap	['瞌', '磕']
khat	['瞌', '磕', '渴']
khajh	['磕', '轄']
kheok	['咳', '刻', '克', '剋']
khoeuk	['殼', '確']
khaek	['客']
khak	['恪']
kheongq	['肯']
kheonq	['啃', '懇', '墾', '齦']
khaeng	['坑']
kheeng	['鏗']
khoung	['空']
khoungh	['空', '控']
khoungq	['孔']
khuongh	['恐']
khuongq	['恐']
khoeung	['控', '腔']
khuo	['摳', '區', '軀', '驅', '嶇']
khouq	['口', '扣', '叩']
khouh	['扣', '寇']
kho	['枯', '挎']
khouk	['哭']
khot	['窟']
khoh	['苦', '庫', '褲', '跨', '胯']
khoq	['苦']
khok	['酷']
khwae	['誇', '跨', '胯']
khwaeq	['垮', '跨']
khwaeh	['跨', '胯']
khwaejh	['快', '筷']
khojh	['塊']
khweejh	['塊']
khwan	['寬']
khuang	['框', '筐', '眶']
guangh	['誆', '狂']
guang	['狂']
huangh	['況']
khwangh	['曠']
khue	['虧']
khwie	['窺']
gwi	['葵']
khojq	['傀']
kuih	['愧']
kon	['昆', '崑']
khon	['坤']
khonq	['捆']
khonh	['困', '睏']
khwat	['闊']
ghwangh	['擴']
khwak	['擴', '廓']
lop	['拉', '垃', '啦', '摺']
lat	['喇', '剌', '辣', '癩']
lap	['臘', '蠟']
lak	['落', '烙', '酪', '絡', '樂', '洛', '駱']
leoj	['來', '萊', '徠']
leojh	['萊', '徠', '睞']
lajh	['賴', '籟', '癩']
lam	['藍', '籃', '襤']
lan	['蘭', '瀾', '欄', '攔']
lanh	['瀾', '爛']
leen	['斕']
lom	['婪']
lanq	['懶']
lamq	['覽', '攬', '欖']
lamh	['纜', '濫']
lomq	['纜']
lang	['狼', '郎', '廊', '瑯', '螂', '榔', '浪', '踉']
langq	['榔', '朗']
langh	['浪']
law	['撈', '牢', '勞', '澇']
lawh	['勞', '癆', '潦', '澇']
trhaew	['嘮']
lawq	['老', '潦', '澇']
moq	['姥', '媽', '莽']
ngaewh	['樂']
ngoeuk	['樂', '岳', '嶽']
leok	['勒', '肋']
lewq	['了', '撩', '繚', '瞭']
loj	['雷', '擂', '鐳', '儡']
lojh	['擂']
lwieh	['累']
lwieq	['累']
lwi	['纍']
lwih	['纍', '類', '淚', '率']
lwiq	['壘']
lojq	['儡', '磊', '蕾']
leong	['棱', '楞']
laengq	['冷']
leng	['冷', '拎', '令', '伶', '蛉', '零', '齡', '鈴', '玲', '羚', '聆', '翎', '靈']
lengq	['冷']
leongh	['愣']
lyq	['哩', '里', '裏', '理', '鯉', '李']
lejh	['離', '麗', '隸', '荔', '捩']
lie	['離', '籬', '漓', '璃', '罹', '麗']
lieh	['離', '荔']
li	['梨']
lej	['犁', '黎', '莉']
ly	['釐', '厘', '狸', '喱']
lejq	['禮']
lih	['利', '俐', '痢', '蒞']
liejh	['例', '厲', '勵']
lyh	['吏']
lyk	['力']
lek	['歷', '瀝', '靂', '曆', '礫', '寥']
lip	['立', '粒']
lit	['栗', '慄']
lyangq	['倆', '兩', '輛']
lyaq	['倆']
lien	['連', '漣', '槤', '聯', '鏈', '令']
len	['蓮', '憐', '零']
lienq	['蓮', '攆']
lienh	['漣']
liem	['廉', '簾', '鐮']
leemq	['臉']
tshiem	['臉', '簽', '籤']
liemh	['斂', '殮']
trhien	['鏈']
lwienh	['戀']
lyang	['良', '踉', '涼', '量', '糧', '梁', '樑', '粱']
lyangh	['踉', '涼', '量', '兩', '亮', '諒', '晾', '輛', '掠']
lew	['撩', '寮', '遼', '僚', '嘹', '繚', '聊', '寥', '瞭', '料', '鐐', '廖']
liewq	['僚', '繚', '燎']
liewh	['療', '燎']
lewh	['嘹', '料', '鐐']
liew	['燎']
luh	['廖', '溜', '留', '餾', '瘤']
liet	['咧', '列', '冽', '烈', '裂']
truo	['列', '蛛', '株', '誅']
liep	['獵']
lwiet	['劣']
let	['捩']
lim	['林', '淋', '琳', '霖', '臨']
lin	['鄰', '鱗', '麟', '磷', '嶙']
linh	['遴', '磷', '吝', '躪']
linq	['嶙']
limh	['臨']
gyim	['凜', '黔', '琴', '禽', '擒']
limq	['凜', '檁']
nrimh	['賃']
lengh	['令', '零', '另']
liaeng	['令']
liaengh	['令']
lyng	['凌', '陵', '菱']
liaengq	['領', '嶺']
lu	['流', '琉', '硫', '留', '榴', '餾', '瘤', '劉', '瀏']
luq	['瀏', '柳']
luk	['六', '陸', '戮']
luok	['碌', '錄', '綠', '氯']
lung	['隆', '窿']
luong	['龍', '籠']
loung	['嚨', '櫳', '聾', '朧', '籠']
loungq	['籠', '攏']
luongq	['隴', '壟']
loungh	['弄']
lou	['摟', '婁', '樓', '簍', '褸']
luo	['摟', '婁']
louq	['簍']
luoq	['簍', '褸', '縷']
louh	['漏', '陋']
loh	['露', '路', '賂']
lo	['嚕', '盧', '爐', '蘆', '鱸', '顱']
lyo	['蘆', '廬', '臚', '驢']
loq	['魯', '虜', '擄', '鹵']
lyoq	['旅', '呂', '鋁', '侶']
luoh	['屢']
liq	['履']
lyoh	['慮', '濾']
lwit	['律', '率']
sruih	['率', '帥']
sruit	['率', '摔', '甩', '帥', '蟀']
lwien	['孿', '攣']
sruenh	['孿']
srwaenh	['孿', '涮']
lwan	['巒']
lwanq	['卵']
lwaq	['卵', '裸']
lwanh	['亂']
lyak	['略', '掠', '藥']
lon	['掄', '崙', '論']
lwin	['掄', '侖', '輪', '淪', '倫', '綸', '論']
kween	['綸']
lonh	['論']
la	['囉', '羅', '蘿', '鑼', '籮']
lah	['邏']
lwa	['螺', '騾']
mae	['媽', '麻', '嗎', '蟆', '嘛']
mat	['抹', '末', '沫', '茉']
ma	['摩', '麼', '魔', '磨', '蘑']
mah	['摩', '磨']
maeq	['馬', '碼', '螞', '瑪', '罵']
maeh	['罵']
meej	['埋']
meeq	['買']
meeh	['賣']
maejh	['邁']
meek	['麥', '脈']
maen	['蠻']
man	['瞞', '饅', '鰻', '曼', '蔓']
muonh	['鰻', '曼', '蔓', '娩', '萬']
manq	['滿', '懣']
maenh	['慢']
manh	['漫', '幔']
mang	['忙', '芒', '茫']
muang	['芒', '亡', '忘', '望']
meeng	['氓', '萌']
maeng	['盲']
mangq	['莽']
mouq	['莽', '某', '母', '姆', '拇', '畝', '牡', '鵡']
maew	['貓', '茅', '描']
myew	['貓', '苗', '描', '瞄']
maw	['毛', '髦', '錨']
mawh	['毛', '冒', '帽', '瑁']
mu	['矛', '繆', '謀', '牟']
dryoq	['茅', '佇']
maewq	['鉚']
meok	['冒', '墨', '默']
mojh	['瑁', '莓', '每', '妹', '昧']
mok	['瑁']
mouh	['貿', '茂', '袤', '姆', '戊']
maewh	['貌']
maq	['麼']
moj	['玫', '枚', '霉', '梅', '莓', '煤', '媒']
muh	['莓']
mot	['沒']
myi	['眉', '嵋', '楣', '薇']
myiq	['美', '鎂']
mojq	['每']
majh	['昧']
mih	['寐']
myih	['魅', '媚']
miejh	['袂']
monh	['悶', '懣']
mon	['門', '們']
monq	['懣']
moung	['蒙', '朦', '檬']
moungq	['朦']
maengh	['盟', '孟']
myaeng	['盟', '明', '鳴']
maengq	['猛', '蜢', '錳']
mung	['夢']
mungh	['夢']
mieq	['瞇', '咪', '瀰', '弭', '咩']
mej	['咪', '迷']
mejh	['謎']
mie	['彌', '瀰']
nejq	['瀰']
myeq	['靡']
mye	['糜']
mejq	['米']
myit	['密']
mit	['蜜']
mek	['覓', '冪']
mien	['棉', '綿']
men	['眠']
myenq	['免', '娩', '冕', '勉']
munh	['娩', '聞', '紊', '問']
muonq	['娩', '晚', '挽']
phuonh	['娩']
mienq	['緬']
thenq	['靦', '腆']
mienh	['面']
menh	['麵']
moeuk	['藐']
myewh	['廟']
miewh	['妙']
muk	['繆', '目', '牧', '穆', '睦']
myiw	['繆']
myiwh	['繆', '謬']
miaeq	['咩']
miet	['滅']
met	['蔑']
min	['民', '泯']
minq	['泯']
myinq	['敏', '憫']
myaengq	['皿']
mun	['閩', '文', '蚊', '紋', '聞']
myin	['閩']
miaeng	['名']
meng	['銘', '冥', '螟']
mengq	['酩']
myaengh	['命']
mak	['摸', '膜', '莫', '漠', '寞', '幕']
mo	['摸', '模', '膜', '饃', '摹']
maek	['陌', '驀']
moh	['墓', '慕', '暮', '募']
mouk	['木', '沐', '鶩']
na	['那', '挪']
nah	['那', '奈']
naq	['那', '哪', '娜']
nrae	['拿']
nop	['納', '鈉', '吶']
njwiejh	['鈉']
nat	['捺']
neojq	['乃']
nreeq	['奶']
neojh	['耐', '能']
najh	['奈']
nan	['難']
nanh	['難', '攤', '灘']
nom	['男', '南']
nreem	['喃']
nomq	['腩']
nang	['囊']
nangq	['曩']
nraew	['撓']
nraewq	['撓']
nawh	['腦']
nawq	['腦', '惱']
nraewh	['鬧']
nri	['呢', '妮', '尼']
nojq	['餒']
nojh	['內']
nonh	['嫩']
neoj	['能']
neong	['能']
neongq	['能']
nej	['泥']
nejh	['泥', '濘']
ngejh	['霓', '羿', '詣']
nget	['霓']
nryq	['你']
ngyq	['擬']
nrit	['昵']
nrih	['膩']
ngyaek	['逆']
nek	['溺']
njyak	['溺', '惹', '若', '弱']
nryk	['匿']
theok	['匿', '忑']
nem	['拈']
qyen	['蔫', '嫣']
qyon	['蔫']
nen	['年']
nriem	['黏', '粘']
nep	['捻', '攝']
nrienh	['碾', '輾']
nemh	['念']
nryang	['娘', '瓤', '鑲']
nryangh	['釀']
tewq	['鳥', '佻']
newh	['尿']
net	['捏']
nriep	['聶', '鑷']
ngyet	['孽']
nrimq	['您']
neng	['寧']
ngyng	['凝']
ngyngh	['凝']
nraengq	['檸']
nengq	['擰', '濘']
nraeng	['獰']
nengh	['濘']
ngu	['牛']
nruq	['扭', '紐', '鈕']
truq	['扭', '肘']
naw	['農']
nong	['農', '膿']
nruong	['濃']
no	['奴']
noq	['努', '怒']
noh	['怒']
njyoq	['女', '茹', '汝']
nryoh	['女', '絮']
nryoq	['女']
nwanq	['暖']
ngyak	['虐', '瘧']
njuo	['懦', '儒', '濡', '蠕']
nwah	['懦', '糯']
nak	['諾']
quoq	['噢', '迂']
qou	['區', '歐', '鷗', '嘔']
qouq	['歐', '毆', '嘔', '慪']
ngouh	['偶']
ngouq	['偶', '藕']
qouh	['慪']
phaek	['啪', '怕', '拍', '魄', '珀']
bae	['爬', '琶', '杷']
beeh	['杷']
phaeh	['怕', '帕']
maet	['帕']
beej	['排', '牌']
boj	['徘', '陪', '培', '賠']
bee	['牌']
pheeh	['派']
pheejh	['湃']
phanh	['胖', '判']
phoeungh	['胖']
pheenh	['盼']
byenh	['拚']
boeung	['龐']
baw	['袍']
phaewq	['跑']
phoj	['胚', '坯']
phojh	['配']
phajh	['沛']
phon	['噴']
phonh	['噴']
bon	['盆']
pheeng	['砰', '抨', '怦']
beong	['朋', '棚', '硼', '鵬']
beeng	['棚']
baengh	['膨', '碰']
phuongq	['捧']
pheengh	['碰']
phej	['批']
phye	['披']
phyeq	['披']
phek	['劈', '霹', '癖', '僻']
phit	['匹']
ngaeq	['疋', '雅']
sryo	['疋', '梳', '疏', '蔬']
sryoq	['疋', '所']
phieh	['譬']
phejh	['媲']
phih	['屁']
phienh	['偏', '騙']
phenh	['片']
biew	['飄', '瓢']
phiew	['飄', '漂']
phiewh	['漂', '票']
phoeuk	['朴', '璞', '樸']
biewh	['票']
phet	['瞥', '撇']
pheng	['拼', '乒']
byin	['貧']
bin	['頻', '蘋']
phyimq	['品']
phiaengh	['聘']
byaeng	['平', '評', '坪']
phah	['頗', '破']
phaq	['頗', '叵']
phat	['潑']
thak	['魄', '拓', '托', '託']
phouq	['剖']
bou	['掊']
pouq	['掊']
pho	['鋪']
phouk	['撲']
phouh	['仆']
bo	['葡', '蒲', '菩', '樸']
bok	['僕']
gy	['期', '其', '棋', '旗', '麒']
khy	['欺']
tshej	['妻', '淒', '悽']
tshejh	['妻', '砌', '切']
sej	['棲', '撕', '嘶', '西', '犀']
tshit	['七', '柒', '漆']
tshek	['戚', '慼']
tsop	['嘁']
tshet	['沏', '切', '竊']
gie	['歧', '岐', '祇', '示']
gi	['鰭']
gyeh	['騎']
khye	['崎']
dzej	['齊', '臍']
tsreej	['齊', '齋']
ghwej	['畦', '攜']
khyq	['起', '杞']
khyjq	['豈']
khyt	['乞', '契']
khieh	['企', '吱']
khieq	['企']
khyeq	['綺']
khyjh	['氣', '汽']
khyih	['器']
khih	['棄']
khejh	['契']
khet	['契', '鍥']
khyip	['泣']
tsip	['葺']
hyt	['迄']
kyt	['訖']
kheep	['掐', '恰']
gheep	['洽', '峽', '狹']
tshen	['千']
khen	['牽', '縴']
khenh	['牽', '蜆']
khem	['謙']
kheen	['慳']
tshien	['遷']
dzen	['前']
dzien	['錢']
dziem	['潛']
dziemh	['潛']
gyem	['黔', '鉗', '鍼']
tshienq	['淺']
khienh	['遣', '譴']
khienq	['遣']
khyomh	['欠']
kheemh	['歉']
kheemq	['歉']
khemq	['歉']
tshyangh	['嗆']
dzyang	['牆']
tshyangq	['搶']
khaewh	['敲', '巧']
tshiewq	['悄']
khiew	['蹺']
tshiew	['鍬']
dziew	['瞧', '憔']
giew	['翹']
giewh	['翹']
khaewq	['巧']
tshiewh	['峭', '俏', '哨']
khewh	['竅', '撬']
tshiaeq	['且']
khyop	['怯']
khep	['愜']
tshin	['親']
tshinh	['親']
khyim	['欽']
gyn	['芹', '勤']
dzin	['秦']
tshimq	['寢']
tshimh	['沁']
tsheng	['青', '蜻']
tshiaeng	['清']
khiaeng	['輕', '氫']
khiaengh	['輕']
khyaeng	['卿']
khwiaeng	['傾', '頃']
dziaeng	['情', '晴', '請']
khwiaengq	['頃']
khyaengh	['慶']
khengh	['罄']
khung	['穹']
gung	['窮']
gwiaeng	['瓊']
tshu	['秋', '鞦']
zu	['囚']
dzu	['酋']
khuoh	['驅']
tshuo	['趨']
khuok	['曲']
khut	['屈']
gyo	['渠']
tshouq	['取', '趣']
tshuoq	['取']
suo	['娶', '需', '須', '鬚']
tshuoh	['娶', '趣']
khyoh	['去']
khyoq	['去']
dzwien	['全', '泉']
tshwien	['痊', '荃', '銓', '詮', '拴']
khwenq	['犬']
khuonh	['券', '勸']
khwet	['缺']
khwiet	['缺']
gua	['瘸']
khyak	['卻']
tshyak	['鵲', '芍']
gun	['群', '裙']
njien	['然', '燃']
njiemh	['染']
njiemq	['染']
njyangq	['嚷', '壤', '攘']
njyang	['瓤', '攘', '鑲']
njyangh	['攘', '讓']
njiew	['饒']
njiewh	['饒', '繞']
njiewq	['擾', '繞']
njiaeq	['惹', '若']
njiet	['熱']
njin	['人', '仁']
njim	['任']
njimh	['任']
njinq	['忍']
njimq	['飪']
njinh	['認', '刃', '韌']
njyngh	['認', '扔']
nrin	['紉']
njyng	['扔', '仍']
njit	['日']
juong	['容', '溶', '熔', '蓉', '鎔', '榕', '頌', '庸', '傭']
juongq	['溶', '勇', '湧', '踊', '俑', '恿', '蛹']
uaeng	['榮', '瑩']
njung	['絨']
jung	['融']
njuong	['茸']
njuongq	['冗']
nju	['柔', '揉', '蹂']
njuh	['蹂']
njuq	['蹂']
nruh	['糅']
njuk	['肉']
njyo	['如', '茹']
njyoh	['如', '茹']
nwan	['濡']
njwienq	['蠕', '軟']
njuoq	['乳']
njuok	['辱', '褥']
njip	['入']
nok	['褥']
njwieq	['蕊']
njwiq	['蕊']
jwiejh	['銳', '睿']
djwieh	['瑞', '睡']
njwinh	['閏', '潤']
njiae	['若']
njiaeh	['偌']
sat	['撒', '薩']
sraeq	['灑']
sreeq	['灑']
sryeh	['灑', '曬']
sryeq	['灑']
seoj	['鰓', '腮']
seojh	['塞', '賽']
seok	['塞', '寨']
samh	['三']
sanh	['散']
sanq	['散', '傘']
sang	['桑', '喪']
sangh	['喪']
sangq	['嗓']
saw	['騷', '搔', '臊', '艘']
sawq	['嫂', '掃', '燥']
sawh	['掃', '噪']
sryk	['色', '嗇']
sryit	['瑟', '虱', '蟋']
sryip	['澀']
seong	['僧']
srae	['沙', '鯊', '砂', '紗']
sraeh	['沙']
swa	['莎', '梭', '唆']
sreejh	['殺']
sreet	['殺', '煞']
djiaeq	['啥', '社']
srwaeh	['傻']
srwaeq	['傻', '耍']
ghaeq	['廈', '下', '夏']
sreep	['霎']
sryep	['霎']
sree	['篩']
srye	['篩']
sryi	['篩', '師', '獅']
sreeh	['曬', '汛']
sreen	['山', '舢']
sraen	['刪', '訕']
sraenh	['柵', '汕', '訕']
tsrhyaek	['柵']
san	['珊', '姍']
sjien	['扇', '煽']
sjienh	['扇', '煽']
sjiem	['苫']
sjiemh	['苫', '閃']
sjiemq	['閃', '陝']
djiemh	['贍']
sjyang	['商', '傷', '湯']
sjyangh	['傷', '餉', '向']
djyangq	['上']
sjiew	['燒']
sjiewh	['燒', '少']
sraewh	['稍']
sraewq	['稍', '梢', '搜']
sraew	['梢', '捎']
siew	['捎', '哨', '消', '銷', '宵', '逍', '硝']
djyak	['勺', '芍']
ghewq	['芍']
tryak	['芍', '着', '著']
sjiewq	['少']
djiewq	['紹']
sjiae	['奢', '賒']
jie	['蛇', '移']
tha	['蛇', '他', '她', '它', '牠', '拖']
zjiae	['蛇', '荼']
ghwaet	['舌']
zjiet	['舌']
djiet	['折']
tjiet	['折', '浙']
sjiaeq	['捨', '舍']
jiaeh	['射', '夜']
jiaek	['射', '掖', '液', '腋', '易', '蜴', '亦', '弈', '奕', '譯', '繹']
zjiaeh	['射']
zjiaek	['射']
sjiaeh	['舍', '赦']
sjiep	['攝', '葉']
tjiep	['懾', '摺']
sjiet	['設']
djiep	['涉']
tep	['涉']
djwi	['誰']
sjim	['深']
sjimh	['深']
sjin	['身', '申', '伸', '紳', '呻']
djimh	['甚']
djimq	['甚']
tjhimq	['瀋']
djinh	['慎']
djinq	['腎']
sryimh	['滲']
sjyng	['升', '昇', '勝']
sryaeng	['生', '牲', '笙', '甥', '猩']
sryaengh	['生']
sjiaeng	['聲']
siaengq	['省', '惺']
sryaengq	['省']
sjyngh	['勝']
sjiaengh	['聖']
jieh	['施', '易']
sjie	['施']
sjy	['詩']
sji	['屍']
sjih	['屍']
sjit	['失', '室']
sjip	['溼']
djip	['十', '什', '拾']
djy	['時']
jyh	['食', '已', '異']
zjyk	['食', '蝕']
zyh	['食', '飼', '嗣', '寺']
zjit	['實']
sjyk	['識', '式', '拭', '飾']
tjyh	['識', '織', '志', '誌', '痣']
sryq	['史', '駛', '使']
sryh	['駛', '使']
sjiq	['矢', '屎']
sjyq	['始']
hi	['屎']
djieq	['是', '氏']
dzryh	['事']
tsryh	['事']
sjyh	['試', '幟']
djyq	['市', '恃']
dzryq	['柿', '士']
sjiejh	['世', '勢']
zyq	['似', '祀', '已']
djih	['視', '嗜']
djiq	['視']
zjih	['示']
djiejh	['誓', '噬', '逝', '拽']
djyh	['侍']
sjiaek	['釋', '適']
tjiaek	['適', '拓', '這', '隻', '炙']
tjie	['氏', '支', '枝', '肢']
djyk	['殖', '植']
sju	['收']
sjuh	['收', '守', '首', '狩', '獸']
djuk	['熟', '淑', '孰', '塾']
sjuq	['手', '守', '首']
djuq	['受', '壽']
djuh	['授', '壽', '售']
sruh	['瘦', '漱']
sjyo	['書', '舒', '紓']
sjuo	['輸']
sjuoh	['輸']
zjyoq	['抒', '紓']
zyoq	['抒', '敘', '序', '緒', '嶼']
tjhuo	['樞']
sryoh	['疏']
sjuk	['叔', '倏', '透']
zjuok	['贖']
zjwit	['秫', '術', '述', '朮']
sroeuk	['數', '朔', '嗽']
sruoh	['數']
sruoq	['數']
sjyoq	['鼠', '暑', '黍']
djyoh	['署', '曙', '薯']
djuok	['蜀', '屬', '鐲']
tjuok	['屬', '燭', '囑', '矚']
djuoh	['樹']
djuoq	['樹', '豎']
souh	['漱', '嗽']
sjyoh	['恕', '庶']
djyoq	['墅', '野']
sjuok	['束']
sruet	['刷']
srwaet	['刷']
srui	['衰']
tsrhue	['衰']
sruen	['栓']
sroeung	['雙']
sryang	['霜', '孀']
sryangq	['爽']
sjwiq	['水']
sjwiejh	['稅', '說', '蛻']
jwiet	['說', '蛻', '閱', '悅']
sjwiet	['說']
dzwienq	['吮']
zjwinh	['順']
sjwinh	['舜', '瞬']
sjyak	['爍']
si	['私']
sie	['斯', '廝']
siq	['死']
sih	['四', '肆']
soung	['忪']
zuong	['松', '淞', '訟']
song	['鬆']
soungh	['鬆', '送']
suong	['鬆', '淞']
suongq	['聳', '慫', '悚']
zuongh	['頌', '誦', '訟']
songh	['宋']
sru	['搜', '餿']
sew	['艘', '蕭', '瀟', '簫']
souk	['嗽', '速']
so	['酥', '穌', '蘇', '甦']
zuok	['俗', '續']
soh	['訴', '素', '塑', '溯']
suk	['肅', '宿']
suok	['粟']
suh	['宿', '秀', '繡', '鏽']
sruk	['縮']
swan	['酸']
swanh	['算', '蒜']
swanq	['算']
swi	['雖', '綏']
zwie	['隨', '隋']
swieq	['髓']
swiejh	['歲']
sojh	['碎']
son	['孫']
sonq	['損']
swinq	['筍']
sa	['嗦', '獻']
swaq	['鎖', '瑣']
sak	['索']
sreek	['索']
sryaek	['索']
thop	['踏']
dap	['蹋']
jy	['台', '怡', '頤']
theoj	['台', '胎']
deoj	['苔', '臺', '檯', '颱', '擡']
thajh	['太', '汰', '泰']
tham	['坍']
thom	['貪', '探']
nanq	['攤']
than	['攤', '灘', '癱', '嘆']
jimq	['潭']
domq	['譚']
thanq	['坦']
thamq	['毯', '忐']
dreenh	['袒', '綻']
thomh	['探']
thanh	['炭', '碳', '嘆']
traeng	['趟']
traengh	['趟', '偵']
